GeneID	Length	SRR12082751_P1.bam	SRR12082752_P.bam	SRR12082753_c.bam	SRR12082754_c.bam
ENSG00000242485	2788	1618	2095	1513	541
ENSG00000264293	293	0	0	0	0
ENSG00000272455	1523	35	14	16	3
ENSG00000235098	2644	0	0	0	1
ENSG00000225905	543	0	0	0	0
ENSG00000205116	492	0	0	0	0
ENSG00000225285	851	4	6	0	0
ENSG00000179403	5065	226	374	83	62
ENSG00000215915	3976	52	10	15	5
ENSG00000160072	7682	1566	431	1797	381
ENSG00000197785	3069	2378	1346	2165	764
ENSG00000205090	1380	1	0	3	0
ENSG00000160075	6925	5047	4056	4925	1820
ENSG00000215014	2101	6	3	3	3
ENSG00000279244	276	0	0	0	0
ENSG00000274481	400	0	0	0	0
ENSG00000280747	286	0	0	0	0
ENSG00000228594	2085	30	60	111	65
ENSG00000272106	2038	90	112	68	29
ENSG00000197530	8767	716	1132	630	251
ENSG00000189409	2714	0	3	2	3
ENSG00000248333	3488	379	346	382	168
ENSG00000272004	400	0	4	0	0
ENSG00000189339	8395	1124	1483	895	287
ENSG00000269737	1422	7	4	9	2
ENSG00000269227	502	4	0	2	1
ENSG00000215914	1017	0	0	1	0
ENSG00000008128	4701	77	61	88	38
ENSG00000268575	5079	30	32	45	11
ENSG00000227775	2759	69	117	43	11
ENSG00000215790	3264	145	176	117	34
ENSG00000008130	5570	1633	1967	905	278
ENSG00000078369	6417	10232	2686	7015	2094
ENSG00000231050	906	14	18	1	2
ENSG00000169885	2321	0	0	0	0
ENSG00000178821	1594	18	115	50	30
ENSG00000142609	10422	26	17	0	1
ENSG00000233542	1954	0	0	0	0
ENSG00000187730	1928	0	0	0	0
ENSG00000226969	538	1	0	0	0
ENSG00000067606	7636	760	1816	98	33
ENSG00000271806	4196	7	5	2	1
ENSG00000182873	1734	26	29	13	1
ENSG00000162585	10916	995	1532	576	287
ENSG00000234396	326	0	0	0	0
ENSG00000277082	74	0	0	0	0
ENSG00000157933	6080	134	173	113	36
ENSG00000116151	11337	157	279	196	54
ENSG00000272161	493	0	1	0	0
ENSG00000269896	2407	14	8	31	2
ENSG00000272420	568	5	1	8	0
ENSG00000157916	5691	4197	5179	3510	1033
ENSG00000157911	3789	558	1025	417	105
ENSG00000149527	10781	127	66	34	15
ENSG00000224387	455	2	0	0	0
ENSG00000229393	514	0	0	0	0
ENSG00000157881	5107	980	1133	738	286
ENSG00000197921	1306	0	0	0	0
ENSG00000272449	996	41	32	46	17
ENSG00000238164	6137	1	0	12	0
ENSG00000157873	6219	86	216	65	64
ENSG00000225931	1297	0	0	0	0
ENSG00000228037	626	1	0	0	0
ENSG00000157870	3371	1072	1619	805	297
ENSG00000142606	3844	0	0	0	0
ENSG00000237058	373	0	0	0	0
ENSG00000215912	7257	4	5	0	1
ENSG00000233234	607	0	0	0	0
ENSG00000231630	429	10	0	0	0
ENSG00000169717	1421	0	0	0	0
ENSG00000177133	5600	0	0	0	0
ENSG00000142611	9767	0	5	0	0
ENSG00000226286	469	0	0	0	0
ENSG00000279839	2677	0	0	0	0
ENSG00000272235	3461	0	0	0	0
ENSG00000130762	5563	203	982	0	1
ENSG00000272088	382	0	0	0	0
ENSG00000162591	7039	389	1236	14	2
ENSG00000207776	96	0	0	0	0
ENSG00000238260	622	2	0	0	0
ENSG00000158109	2414	745	1569	285	140
ENSG00000116213	7604	884	927	896	368
ENSG00000078900	6763	152	134	39	27
ENSG00000227589	754	0	0	0	3
ENSG00000235131	351	0	0	0	0
ENSG00000227372	7205	0	2	9	0
ENSG00000276189	161	0	0	0	0
ENSG00000162592	2318	0	1	0	0
ENSG00000235169	954	8	204	0	1
ENSG00000130764	4516	1682	1452	1500	454
ENSG00000266075	297	0	9	0	1
ENSG00000272153	531	12	5	28	6
ENSG00000116198	7876	1017	1199	517	120
ENSG00000169598	3870	92	91	183	58
ENSG00000198912	4388	1143	813	956	267
ENSG00000236423	4064	39	24	59	4
ENSG00000233304	3894	0	0	0	0
ENSG00000226374	1852	1	0	0	0
ENSG00000229280	372	0	0	0	1
ENSG00000235054	2104	0	0	0	0
ENSG00000227169	356	0	0	0	0
ENSG00000232596	1994	0	0	0	0
ENSG00000196581	12405	0	0	0	0
ENSG00000277731	95	0	0	0	0
ENSG00000231510	449	0	0	0	0
ENSG00000260972	1697	0	0	0	0
ENSG00000264341	73	0	0	0	0
ENSG00000236948	363	0	0	0	0
ENSG00000216045	89	0	0	0	0
ENSG00000264101	70	0	0	0	0
ENSG00000131697	13167	377	415	309	101
ENSG00000266687	86	0	0	0	0
ENSG00000069424	9534	390	959	278	66
ENSG00000116254	9890	1	0	2	0
ENSG00000116251	4900	1975	2098	2052	722
ENSG00000226944	378	1	3	0	3
ENSG00000158286	6585	179	95	145	49
ENSG00000116237	4910	5375	5740	5277	1007
ENSG00000225077	1685	18	59	71	17
ENSG00000173673	697	0	0	0	0
ENSG00000158292	4082	157	192	54	50
ENSG00000097021	4124	4114	6276	2099	820
ENSG00000271746	837	0	0	0	0
ENSG00000069812	5407	160	286	7	11
ENSG00000187017	4651	0	18	0	0
ENSG00000265392	63	0	0	0	0
ENSG00000231868	351	0	0	0	0
ENSG00000215788	3918	8	29	10	10
ENSG00000171680	6920	27	207	38	15
ENSG00000162408	7293	1296	1206	1308	197
ENSG00000253022	111	0	0	0	1
ENSG00000229519	401	31	7	30	7
ENSG00000173662	2892	0	0	2	0
ENSG00000204859	4503	399	466	313	97
ENSG00000162413	6901	1832	784	2806	614
ENSG00000116273	3681	1011	1213	634	166
ENSG00000041988	4072	413	580	303	116
ENSG00000007923	5083	1421	1642	1578	306
ENSG00000228750	2188	0	0	0	0
ENSG00000237436	415	0	5	11	3
ENSG00000171735	10033	1076	1660	764	314
ENSG00000227950	286	1	0	1	1
ENSG00000237365	349	0	0	0	0
ENSG00000207056	165	0	0	0	0
ENSG00000280801	85	0	0	0	0
ENSG00000237402	365	2	0	0	1
ENSG00000237728	744	0	0	0	0
ENSG00000225126	361	0	0	0	0
ENSG00000270171	1721	0	0	0	0
ENSG00000270035	570	0	0	0	0
ENSG00000269978	267	0	0	0	0
ENSG00000049245	2760	4053	5802	2251	602
ENSG00000269925	393	5	0	6	1
ENSG00000049246	8099	219	56	243	60
ENSG00000236266	830	21	8	15	4
ENSG00000049247	1791	0	0	0	0
ENSG00000049249	6331	122	25	38	5
ENSG00000270330	355	0	0	0	0
ENSG00000116288	2397	7937	12950	5967	2187
ENSG00000200344	103	5	2	3	0
ENSG00000116285	4186	5363	24552	10561	2866
ENSG00000238290	2044	15	197	17	12
ENSG00000232848	800	3	0	0	2
ENSG00000229305	1075	0	0	0	0
ENSG00000227634	950	16	59	7	7
ENSG00000200975	164	0	0	0	0
ENSG00000233645	477	0	0	0	0
ENSG00000251977	107	0	0	0	0
ENSG00000162426	2888	46	220	12	21
ENSG00000252254	113	0	0	0	0
ENSG00000142599	11503	412	705	387	165
ENSG00000232912	702	0	4	1	0
ENSG00000221083	125	0	0	0	1
ENSG00000270282	369	1	0	0	0
ENSG00000280851	81	0	0	0	0
ENSG00000234619	658	2	2	5	2
ENSG00000224315	703	0	0	5	1
ENSG00000222511	103	0	0	0	0
ENSG00000226545	415	3	0	0	0
ENSG00000228423	353	6	2	0	1
ENSG00000229716	369	0	0	0	0
ENSG00000074800	3958	116876	132330	76432	36924
ENSG00000280816	259	1	0	0	0
ENSG00000274258	89	0	4	0	0
ENSG00000236269	744	28	19	42	21
ENSG00000230679	456	3	17	9	0
ENSG00000201725	107	0	0	0	0
ENSG00000238249	743	15	9	6	3
ENSG00000232208	352	0	0	1	0
ENSG00000232663	163	0	0	0	0
ENSG00000131686	2662	3	0	2	0
ENSG00000265141	299	0	0	0	0
ENSG00000197241	1539	0	0	0	0
ENSG00000142583	6693	2	6	1	1
ENSG00000252404	184	0	0	0	0
ENSG00000281506	78	0	0	0	0
ENSG00000180758	5372	192	195	433	121
ENSG00000228526	4571	5	5	11	9
ENSG00000207865	110	0	0	0	0
ENSG00000234546	1662	0	0	0	2
ENSG00000281937	1764	0	0	0	0
ENSG00000049239	9321	870	2656	712	325
ENSG00000171621	3403	778	1404	328	123
ENSG00000252956	110	0	0	0	0
ENSG00000235263	708	0	0	0	0
ENSG00000171612	3854	537	617	720	174
ENSG00000231181	559	1	3	7	9
ENSG00000188807	6966	539	701	676	183
ENSG00000171608	6332	419	760	912	243
ENSG00000179840	1823	0	1	1	0
ENSG00000233268	421	0	0	0	0
ENSG00000231789	939	11	99	1	3
ENSG00000171603	5559	2726	2901	1883	522
ENSG00000271264	246	0	0	0	0
ENSG00000280113	649	0	0	0	0
ENSG00000178585	3339	323	781	347	117
ENSG00000223989	424	0	0	0	0
ENSG00000162441	2794	643	741	761	179
ENSG00000228150	440	13	33	12	4
ENSG00000173614	4610	292	463	326	82
ENSG00000202415	319	8	13	7	5
ENSG00000265521	78	0	0	0	0
ENSG00000241326	436	0	0	0	0
ENSG00000162444	861	0	1	0	0
ENSG00000130939	9128	1408	1504	983	192
ENSG00000224340	337	0	0	0	0
ENSG00000233623	680	0	0	0	1
ENSG00000201746	107	0	0	0	0
ENSG00000054523	17720	1421	1214	1248	238
ENSG00000264881	86	0	0	0	0
ENSG00000199562	107	0	2	0	0
ENSG00000264501	293	0	0	0	0
ENSG00000142657	2966	2920	5409	2268	704
ENSG00000271989	797	2	0	0	0
ENSG00000251503	2244	14	4	14	3
ENSG00000175279	1739	210	231	162	33
ENSG00000241563	1130	7	6	1	0
ENSG00000160049	6622	3174	4763	2883	772
ENSG00000203469	467	0	0	0	0
ENSG00000142655	2995	286	383	199	113
ENSG00000243267	280	0	0	0	0
ENSG00000130940	11336	58	65	86	37
ENSG00000272078	7923	6	3	0	1
ENSG00000225158	238	0	0	0	0
ENSG00000175262	3573	2	3	1	0
ENSG00000215785	494	1	0	0	0
ENSG00000264181	88	0	0	0	0
ENSG00000281322	84	0	0	0	0
ENSG00000120948	6071	4247	4317	3939	791
ENSG00000277726	2205	0	0	0	0
ENSG00000009724	4251	1	2	1	1
ENSG00000271895	870	14	7	6	2
ENSG00000116649	1898	7408	2452	8315	2519
ENSG00000171824	6003	4068	3423	3072	697
ENSG00000226849	2682	2	1	2	0
ENSG00000281350	263	1	0	1	0
ENSG00000230337	536	29	20	26	11
ENSG00000198793	12119	1321	1824	1335	220
ENSG00000225602	763	0	0	0	0
ENSG00000253086	103	0	0	0	0
ENSG00000171819	2238	0	0	0	0
ENSG00000207451	107	0	0	1	0
ENSG00000238173	150	0	0	0	0
ENSG00000120942	5082	1154	1145	1119	253
ENSG00000238199	437	10	0	0	2
ENSG00000224338	565	0	0	0	0
ENSG00000204624	6142	4	1	8	3
ENSG00000235643	1285	2	0	0	0
ENSG00000116661	2333	123	643	12	3
ENSG00000132879	3527	134	331	93	36
ENSG00000116663	1811	17	76	44	28
ENSG00000116670	3324	2316	3613	1498	699
ENSG00000162490	7346	0	2	2	0
ENSG00000177674	2435	1168	3409	2189	836
ENSG00000215910	6499	0	8	1	0
ENSG00000177553	1868	0	0	0	0
ENSG00000177000	10214	236	704	150	66
ENSG00000011021	6938	418	474	248	88
ENSG00000242349	1427	10	8	14	0
ENSG00000276470	173	0	0	0	0
ENSG00000278852	149	0	0	0	0
ENSG00000175206	1120	3	0	2	1
ENSG00000275915	108	0	0	0	0
ENSG00000120937	694	0	0	0	0
ENSG00000224904	2637	6	0	0	1
ENSG00000199347	120	1	2	0	0
ENSG00000201801	120	0	0	0	1
ENSG00000116685	3281	2821	867	2449	1105
ENSG00000083444	5320	3828	6410	4163	2155
ENSG00000116688	4973	5292	5135	3854	839
ENSG00000270914	93	0	0	0	1
ENSG00000116691	2821	660	681	819	335
ENSG00000202461	113	1	0	0	0
ENSG00000276869	65	0	0	0	0
ENSG00000243539	275	0	0	0	0
ENSG00000120949	3738	1	5	10	12
ENSG00000281342	245	0	0	0	0
ENSG00000201135	104	0	0	0	0
ENSG00000227875	255	1	2	0	0
ENSG00000275459	96	0	0	0	1
ENSG00000028137	3766	15	113	1547	735
ENSG00000263676	61	0	0	0	0
ENSG00000225196	316	0	0	0	0
ENSG00000252969	124	0	0	0	0
ENSG00000048707	20023	566	926	576	109
ENSG00000280999	100	0	2	0	0
ENSG00000239149	152	0	4	0	0
ENSG00000229484	438	0	0	0	0
ENSG00000162496	3036	8	470	10	4
ENSG00000221340	101	0	0	0	0
ENSG00000276830	67	0	0	0	0
ENSG00000272482	345	0	0	0	0
ENSG00000204518	1575	0	0	0	0
ENSG00000226166	112	0	0	0	0
ENSG00000188984	4049	0	0	0	0
ENSG00000157330	4118	0	0	0	0
ENSG00000116726	1786	0	0	0	0
ENSG00000116721	2439	2	0	0	0
ENSG00000228338	378	0	0	0	0
ENSG00000239810	1845	0	0	0	0
ENSG00000231103	1417	0	0	0	0
ENSG00000179172	1201	0	7	11	1
ENSG00000120952	1642	0	0	0	0
ENSG00000243073	1828	0	0	0	0
ENSG00000187545	1525	0	0	0	0
ENSG00000204510	1660	0	0	0	0
ENSG00000207434	107	0	0	0	0
ENSG00000234064	1139	0	0	0	0
ENSG00000232423	2170	0	0	0	0
ENSG00000274178	1450	0	0	0	0
ENSG00000274764	1863	0	0	0	0
ENSG00000280267	2392	0	0	0	0
ENSG00000229571	2013	0	0	0	0
ENSG00000277058	1148	2	1	0	0
ENSG00000277862	1447	0	0	0	0
ENSG00000236179	891	0	0	0	0
ENSG00000275774	1148	2	2	5	0
ENSG00000229978	1452	0	0	0	0
ENSG00000233336	384	0	0	0	0
ENSG00000179412	882	0	0	2	0
ENSG00000204505	1863	0	0	0	0
ENSG00000279169	1035	0	0	0	0
ENSG00000279804	2104	0	0	0	0
ENSG00000250894	1371	0	0	0	0
ENSG00000270601	1720	0	0	0	0
ENSG00000231219	1068	0	0	0	0
ENSG00000207511	107	0	0	0	0
ENSG00000182330	1937	0	0	0	0
ENSG00000204501	1960	0	0	0	0
ENSG00000237700	1425	0	0	0	0
ENSG00000228229	384	0	0	0	0
ENSG00000204481	2301	0	0	0	0
ENSG00000204480	1233	0	0	0	0
ENSG00000204479	1578	0	0	0	0
ENSG00000204478	1597	2	0	0	0
ENSG00000162494	2209	0	0	0	0
ENSG00000259961	477	0	0	0	0
ENSG00000215909	371	0	0	0	0
ENSG00000162493	3707	0	1	1	0
ENSG00000222952	101	0	0	0	0
ENSG00000266358	101	0	0	0	0
ENSG00000237445	379	0	0	0	0
ENSG00000253085	130	0	0	0	0
ENSG00000116731	10923	541	500	491	95
ENSG00000252151	103	0	0	0	0
ENSG00000231606	282	0	0	0	0
ENSG00000234593	764	10	0	0	0
ENSG00000189337	12644	60	30	264	117
ENSG00000280763	103	0	0	0	0
ENSG00000235829	326	0	0	0	0
ENSG00000175147	7100	3	0	1	0
ENSG00000171729	2240	279	320	339	121
ENSG00000204464	559	0	0	0	0
ENSG00000215720	710	3	0	0	0
ENSG00000278480	966	0	0	0	0
ENSG00000142621	12805	12	17	17	3
ENSG00000233485	3105	0	0	0	0
ENSG00000236045	727	0	0	0	0
ENSG00000228140	5178	0	0	17	2
ENSG00000142634	2531	2973	3091	4862	2814
ENSG00000162438	3486	0	0	0	0
ENSG00000142615	1519	0	0	0	0
ENSG00000215704	1457	0	2	1	0
ENSG00000132906	5269	365	595	167	57
ENSG00000116138	8563	592	1038	520	95
ENSG00000251866	140	0	0	0	0
ENSG00000272510	346	0	0	1	0
ENSG00000116771	2500	204	169	312	80
ENSG00000237301	2845	0	0	6	1
ENSG00000235084	447	67	49	25	17
ENSG00000252417	68	0	0	0	0
ENSG00000236500	225	0	0	0	0
ENSG00000197312	12136	515	552	533	126
ENSG00000215695	1854	0	0	0	0
ENSG00000271742	256	0	0	0	0
ENSG00000116786	4122	652	343	611	353
ENSG00000264048	87	0	0	0	0
ENSG00000237938	1533	6	0	10	2
ENSG00000162461	3195	4	13	4	5
ENSG00000224459	639	2	8	2	3
ENSG00000162460	1520	0	0	0	2
ENSG00000162458	4716	173	371	56	50
ENSG00000280788	268	0	0	0	0
ENSG00000224321	490	92	345	69	38
ENSG00000233954	2180	285	329	310	92
ENSG00000178715	438	32	13	14	15
ENSG00000179743	2473	57	78	42	35
ENSG00000065526	13294	1501	1706	1749	330
ENSG00000270620	211	0	0	0	0
ENSG00000116809	4240	838	1100	575	232
ENSG00000234607	563	0	0	0	1
ENSG00000231353	260	0	0	0	0
ENSG00000275503	236	0	0	0	0
ENSG00000224966	962	0	0	0	0
ENSG00000183888	3039	0	0	0	0
ENSG00000233078	466	0	0	0	0
ENSG00000173641	3910	0	5	0	0
ENSG00000186510	3476	1	1	0	0
ENSG00000232456	704	2	3	0	0
ENSG00000184908	2939	0	0	0	0
ENSG00000185519	1701	29	45	4	4
ENSG00000142627	4159	10503	8966	4121	1042
ENSG00000227959	904	30	16	27	4
ENSG00000224621	544	35	18	18	11
ENSG00000234166	439	0	0	0	0
ENSG00000142632	3745	212	427	255	90
ENSG00000237276	1990	7	45	2	12
ENSG00000132881	1545	24	75	17	4
ENSG00000233929	186	6	25	36	28
ENSG00000037637	8984	1050	1383	747	279
ENSG00000055070	4747	1628	1439	1032	309
ENSG00000226457	381	18	11	12	4
ENSG00000187144	4506	4	0	6	0
ENSG00000281598	76	0	0	0	0
ENSG00000157191	5559	2362	2688	1665	771
ENSG00000226029	3245	0	0	17	2
ENSG00000080947	6813	41	18	41	13
ENSG00000206652	164	2	6	3	1
ENSG00000261135	1110	0	0	3	0
ENSG00000224174	327	0	0	0	0
ENSG00000233421	2068	0	0	0	0
ENSG00000277344	144	0	0	0	0
ENSG00000268991	510	0	0	0	0
ENSG00000225710	882	0	0	0	0
ENSG00000266584	74	0	0	0	0
ENSG00000219481	12212	604	356	587	107
ENSG00000271732	339	0	0	0	0
ENSG00000215908	3943	244	112	287	113
ENSG00000186301	2291	8	0	6	4
ENSG00000282143	817	0	0	0	0
ENSG00000207513	164	3	158	7	6
ENSG00000237847	510	0	0	0	0
ENSG00000280114	1351	0	0	0	0
ENSG00000264742	74	0	0	0	0
ENSG00000236698	435	462	349	275	87
ENSG00000268869	3178	1	0	0	0
ENSG00000279151	406	0	0	0	0
ENSG00000279132	511	0	0	0	0
ENSG00000282740	819	3	3	0	0
ENSG00000058453	8871	270	174	251	66
ENSG00000227684	762	0	0	2	0
ENSG00000207389	164	2	24	7	0
ENSG00000186715	5180	0	0	0	2
ENSG00000223643	837	0	0	0	0
ENSG00000230239	882	0	0	0	0
ENSG00000263811	73	0	0	0	0
ENSG00000228549	2963	0	0	0	0
ENSG00000277234	144	0	0	0	0
ENSG00000238142	508	46	125	73	28
ENSG00000235241	508	2	6	3	6
ENSG00000207005	164	12	263	5	8
ENSG00000272426	438	2	3	3	1
ENSG00000117122	2915	0	0	109	56
ENSG00000226526	636	1	3	1	1
ENSG00000159363	5253	4688	12637	3024	1163
ENSG00000117118	2462	4603	7260	4358	1459
ENSG00000117115	5984	9	17	2	3
ENSG00000281330	88	0	0	0	0
ENSG00000204362	4676	1	7	17	10
ENSG00000282843	1228	0	0	0	0
ENSG00000142623	4903	16	39	28	12
ENSG00000142619	3189	58	88	33	15
ENSG00000266634	87	0	0	0	0
ENSG00000159339	2971	49	21	76	120
ENSG00000280226	189	0	0	0	0
ENSG00000276747	2396	0	0	0	0
ENSG00000227751	311	0	0	0	0
ENSG00000179051	4126	2329	839	1894	452
ENSG00000266727	64	0	0	0	0
ENSG00000074964	7817	145	260	130	60
ENSG00000236648	610	0	0	0	0
ENSG00000278471	54	0	0	0	0
ENSG00000117148	1864	4	0	1	0
ENSG00000261781	2471	0	0	0	0
ENSG00000117154	3085	0	0	0	0
ENSG00000280222	6473	0	0	0	0
ENSG00000230035	430	0	0	0	0
ENSG00000225387	491	0	0	0	0
ENSG00000179023	5145	0	6	0	0
ENSG00000235282	266	5	4	2	5
ENSG00000225478	223	0	0	0	0
ENSG00000009709	6313	0	0	0	0
ENSG00000179002	2542	0	0	0	0
ENSG00000255275	4369	0	0	0	0
ENSG00000159423	3689	142	548	142	55
ENSG00000265606	74	0	0	0	0
ENSG00000221662	78	0	0	0	0
ENSG00000169991	6188	157	31	204	74
ENSG00000272084	3402	16	12	14	0
ENSG00000127481	24675	3224	3110	2424	757
ENSG00000230424	507	11	10	13	1
ENSG00000127463	10650	3000	4687	3763	778
ENSG00000053372	2822	2549	1711	3370	1121
ENSG00000211454	2768	12	6	18	0
ENSG00000162482	1710	4	0	14	1
ENSG00000270728	525	9	12	15	1
ENSG00000053371	1781	2885	5345	1970	874
ENSG00000200403	107	1	2	0	0
ENSG00000040487	2686	462	493	548	154
ENSG00000077549	3238	3432	5570	2616	1109
ENSG00000240490	288	0	0	0	1
ENSG00000201609	141	0	0	0	0
ENSG00000235185	207	0	0	0	0
ENSG00000173436	5227	2476	3143	2177	811
ENSG00000270136	2493	0	0	0	0
ENSG00000226396	455	42	8	41	32
ENSG00000158747	3465	237	199	365	172
ENSG00000158748	1984	0	0	1	0
ENSG00000162542	4054	372	704	389	96
ENSG00000178828	1250	0	0	0	0
ENSG00000235434	447	0	0	0	0
ENSG00000169914	6767	192	89	250	56
ENSG00000188784	785	0	0	0	0
ENSG00000242688	301	0	0	0	0
ENSG00000188257	1685	4	0	0	0
ENSG00000127472	2607	0	0	0	0
ENSG00000117215	2681	0	0	0	0
ENSG00000158786	6440	0	0	0	0
ENSG00000227066	2639	0	0	0	0
ENSG00000187980	3298	0	0	0	0
ENSG00000225986	510	0	1	0	0
ENSG00000162543	5571	0	0	0	0
ENSG00000228105	480	0	0	0	0
ENSG00000158816	6377	2	0	1	0
ENSG00000226664	229	0	0	0	0
ENSG00000236963	3394	0	0	0	0
ENSG00000226487	376	0	0	0	0
ENSG00000162545	2615	138	103	114	71
ENSG00000090432	2438	1787	2746	1475	554
ENSG00000215520	763	0	0	0	0
ENSG00000183114	2572	0	0	0	0
ENSG00000158825	963	24	45	862	385
ENSG00000158828	4836	612	1276	847	418
ENSG00000273695	110	0	0	0	0
ENSG00000117242	4443	38	113	36	16
ENSG00000244038	2721	7756	16223	5819	2061
ENSG00000117245	4470	8	33	10	5
ENSG00000235432	479	0	0	0	0
ENSG00000189410	4423	71	25	218	58
ENSG00000233069	299	0	0	0	0
ENSG00000127483	7442	6030	6277	3492	652
ENSG00000075151	9596	2287	1919	1324	363
ENSG00000251914	62	0	0	0	0
ENSG00000221808	119	0	0	0	0
ENSG00000233072	385	5	0	3	1
ENSG00000236073	115	2	3	4	0
ENSG00000235112	296	0	2	1	0
ENSG00000117298	7265	3395	8155	4902	1714
ENSG00000236936	723	0	1	2	0
ENSG00000231105	2479	3	4	3	4
ENSG00000236216	376	5	0	8	0
ENSG00000228823	649	0	0	0	0
ENSG00000236009	761	0	0	0	0
ENSG00000227001	661	7	18	4	5
ENSG00000187952	1234	28	12	10	2
ENSG00000186543	830	0	0	0	0
ENSG00000142794	6812	764	1192	316	63
ENSG00000176378	327	0	6	0	0
ENSG00000162551	3007	0	0	1	0
ENSG00000233431	821	0	0	0	0
ENSG00000221781	138	0	0	0	0
ENSG00000076864	5755	56	63	0	2
ENSG00000090686	9497	1398	2171	1185	362
ENSG00000281866	56	0	0	0	0
ENSG00000231978	307	0	0	0	0
ENSG00000187942	4490	1	4	1	1
ENSG00000142798	17684	1318	2055	364	214
